iter	Logloss
0	0.5699926142
1	0.4768652979
2	0.412348734
3	0.360984607
4	0.3216116706
5	0.2933040331
6	0.2718992507
7	0.2560733238
8	0.2428621706
9	0.2310626029
10	0.2222738474
11	0.2165476844
12	0.2100265411
13	0.2042621213
14	0.2008401083
15	0.1982252847
16	0.1948120701
17	0.1918755638
18	0.1897514473
19	0.1874565769
20	0.1857811811
21	0.1840031947
22	0.1827985317
23	0.1816319789
24	0.1803905534
25	0.1795254445
26	0.1785960182
27	0.1777660639
28	0.1768020536
29	0.1758188726
30	0.1750919698
31	0.1744281293
32	0.173979668
33	0.1734942974
34	0.1729935095
35	0.1725637743
36	0.1716471126
37	0.1713263179
38	0.1710568613
39	0.1704359498
40	0.1699542048
41	0.1694457506
42	0.1691259633
43	0.1688535613
44	0.1680591647
45	0.1676177356
46	0.1670087382
47	0.166751299
48	0.1664671476
49	0.1660346811
50	0.1657406528
51	0.1655771242
52	0.1654098051
53	0.1651675771
54	0.1648519602
55	0.1644759594
56	0.1641906984
57	0.1639069421
58	0.1636265454
59	0.1634846105
60	0.1631905697
61	0.1628837486
62	0.1626747382
63	0.1622898287
64	0.1618676664
65	0.161644218
66	0.1614926789
67	0.161260602
68	0.161029266
69	0.160563477
70	0.1600314025
71	0.1595918206
72	0.1594410656
73	0.1592987142
74	0.1592257095
75	0.159117405
76	0.1589715828
77	0.1588422441
78	0.1585339579
79	0.1584062091
80	0.1581865112
81	0.1580687633
82	0.1579314823
83	0.1577468122
84	0.157555412
85	0.1572208174
86	0.1569822174
87	0.156599128
88	0.1564469026
89	0.1562675698
90	0.1561489359
91	0.1560804983
92	0.1559719682
93	0.1558640119
94	0.1557452183
95	0.1556273434
96	0.1553354325
97	0.1550654558
98	0.1549461309
99	0.1547230949
