iter	Passed	Remaining
0	3	374
1	7	381
2	11	360
3	14	341
4	17	325
5	19	312
6	22	299
7	25	290
8	27	282
9	30	277
10	33	273
11	36	268
12	39	263
13	42	258
14	44	254
15	47	250
16	50	246
17	53	243
18	56	239
19	58	235
20	61	232
21	64	228
22	67	224
23	69	221
24	72	217
25	75	214
26	77	210
27	80	207
28	83	204
29	86	201
30	89	198
31	91	195
32	94	192
33	97	189
34	100	185
35	102	182
36	105	179
37	108	176
38	111	173
39	113	170
40	116	167
41	119	164
42	122	162
43	125	159
44	128	156
45	130	153
46	133	150
47	136	147
48	139	145
49	142	142
50	145	139
51	147	136
52	150	133
53	153	130
54	156	127
55	159	125
56	161	122
57	164	119
58	167	116
59	170	113
60	172	110
61	175	107
62	178	104
63	181	102
64	184	99
65	186	96
66	189	93
67	192	90
68	195	87
69	198	85
70	201	82
71	204	79
72	206	76
73	209	73
74	212	70
75	215	67
76	218	65
77	220	62
78	223	59
79	226	56
80	229	53
81	232	50
82	234	48
83	237	45
84	240	42
85	243	39
86	246	36
87	249	34
88	252	31
89	255	28
90	258	25
91	260	22
92	263	19
93	266	17
94	269	14
95	271	11
96	274	8
97	277	5
98	280	2
99	282	0
